釜山行2：半岛	动作／惊悚	2020-08-12
唐人街探案2	喜剧／动作／悬疑	2018-02-16
天气之子	爱情／动画／奇幻	2019-11-01
误杀	剧情／犯罪	2020-07-20
第一次的离别	剧情／家庭	2020-07-20
大话西游之大圣娶亲	喜剧／爱情／奇幻／古装	2020-07-24
釜山行	动作／惊悚／灾难	2016-05-13
寻梦环游记	动画／冒险／家庭	2020-07-20
我在世界城等你	短片	2016-05-16
少年的你	爱情／青春／剧情	2019-10-25
风声	惊悚／剧情／犯罪	2020-07-20
多力特的奇幻冒险	剧情／奇幻／冒险	2020-07-24
战狼2	动作／战争	2020-07-20
大鱼海棠	剧情／动画／奇幻	2020-07-20
当幸福来敲门	剧情／家庭／传记	2020-07-20
喋血战士	动作／科幻	2020-07-24
我是大哥大 电影版	喜剧	2020-07-17
流浪地球	剧情／冒险／科幻	2019-02-05
泰坦尼克号	剧情／爱情／灾难	1998-04-03
何以为家	剧情	2020-07-24
恐怖电影院2	恐怖／惊悚	2017-10-20
复仇者联盟4：终局之战	动作／冒险／奇幻	2019-04-24
纽约唐人街碎尸案	剧情	1961
冰雪奇缘2	喜剧／动画／冒险	2019-11-22
哥斯拉2：怪兽之王	科幻／灾难／动作	2019-05-31
两只老虎	剧情／喜剧	2019-11-29
泰坦尼克号3D	爱情／灾难／剧情	2012-04-10
美人鱼	喜剧／爱情／科幻	2020-07-20
毒液2	动作／科幻／惊悚／恐怖	2020-06-25
哈利·波特与死亡圣器（下）	奇幻／冒险	2011-08-04
